Team,Rating,PPG,OPPG,TO/Game,3 Pt. %,FT %,Steals/Game,OREB/Game,O Kill Shot?,D Kill Shot?,D Kill Shot (BAD),SOS,Pace of Play,NET Ranking,Normalized Pace,Normalized NET,New Rating,,"Top ""Kill-Shots"" (Account for its interaction with opponent)",,Kill Shots Allowed (Least),,Kill Shots Allowed (Most),,,,,,,
SFA,#N/A,75.3,70.6,16.1,0.32,0.72,9,10.6,0,0,0,#N/A,70.7,171,0.678,0.472,#N/A,,,,,,,,,,,Eastern Washington,132,21-10
Yale,21.75,75.3,67.2,9.2,0.34,0.718,5.8,8.9,0,0,0,126,66.2,82,0.364,0.225,21.75,,,,,,,,,,,Toledo,133,19-11
New Hampshire,17.19,75.3,74.5,11.4,0.33,0.73,7.1,7.7,0,0,0,199,73.6,242,0.881,0.669,17.19,,,,,,,,,,,Tarleton State,134,22-7
Presbyterian,17.03,75.2,73.5,11,0.343,0.661,6.8,7.9,0,0,0,325,68.8,279,0.545,0.772,17.03,,,,,,,,,,,Liberty,135,17-13
South Florida,21.52,75.2,68.5,10.5,0.362,0.74,6.8,8.6,0,0,0,184,68.7,75,0.538,0.206,21.52,,,,,,,,,,,Troy,136,20-11
San Diego State,22.71,75.1,66,10.8,0.319,0.738,7.4,9.4,0,1,0,28,67.3,19,0.441,0.050,26.71,,,,,,,,,,,Oakland,137,20-11
North Dakota,18.71,75.1,72,9.9,0.322,0.706,6.2,10.2,0,0,0,336,67.8,239,0.476,0.661,18.71,,,,,,,,,,,Louisiana,138,18-13
Bradley,21.90,75.1,67.3,11.2,0.37,0.722,7.5,8.8,0,0,0,138,66.7,60,0.399,0.164,21.90,,,,,,,,,,,UMass Lowell,139,20-9
Liberty,21.81,75.1,64.8,9.4,0.366,0.665,5.4,7.9,0,0,1,171,65.6,135,0.322,0.372,21.81,,,,,,,,,,,Montana,140,21-10
Oklahoma,20.82,75.1,66.9,11.8,0.337,0.736,6,8.6,0,1,0,24,68.4,42,0.517,0.114,20.82,,,,,,,,,,,Tulane,141,13-16
Wofford,15.31,75,74.2,10.8,0.365,0.617,4.3,9.5,0,0,0,161,66.8,173,0.406,0.478,15.31,,,,,,,,,,,Chattanooga,142,20-11
Washington State,20.64,75,67.2,10.1,0.346,0.706,5.3,9.7,0,1,0,85,66.7,39,0.399,0.106,20.64,,,,,,,,,,,West Virginia,143,20-Sep
Louisiana Tech,22.23,75,63.9,12.1,0.364,0.703,7.7,10.2,0,0,0,179,66.6,86,0.392,0.236,22.23,,,,,,,,,,,Weber State,144,20-11
California,16.97,75,76.2,10.9,0.343,0.731,5.8,9.4,0,0,0,70,69.6,118,0.601,0.325,16.97,,,,,,,,,,,Wright State,145,18-13
Weber State,22.33,74.9,66.8,9.7,0.355,0.748,6.8,6.6,0,0,1,246,66,144,0.350,0.397,22.33,,,,,,,,,,,UTA,146,17-13
Tulsa,16.33,74.9,73.9,12.9,0.322,0.739,8,7.5,0,0,0,212,71.5,197,0.734,0.544,16.33,,,,,,,,,,,Furman,147,16-15
Hofstra,#N/A,74.8,#N/A,9.9,0.371,0.741,6,6.5,0,0,0,175,66.5,112,0.385,0.308,#N/A,,,,,,,,,,,Western Kentucky,148,19-10
Omaha,19.18,74.8,73.1,9.4,0.335,0.746,6.2,7.8,0,0,0,287,67.8,272,0.476,0.753,19.18,,,,,,,,,,,Ohio,149,18-12
Michigan,32.55,74.7,79.1,12.5,0.371,0.704,4.1,9.2,0,0,1,2,68.9,129,0.552,0.356,20.55,,,,,,,,,,,UNC Asheville,150,20-11
Akron,20.92,74.7,65.3,10.6,0.338,0.725,5.9,9.1,0,0,0,197,66.3,104,0.371,0.286,20.92,,,,,,,,,,,Wichita State,151,13-17
